time_ind,cases_all,step
0,24,1
1,28,1
2,44,1
3,67,1
4,84,1
5,94,1
0,24,2
1,28,2
2,44,2
3,67,2
4,84,2
5,94,2
6,123,2
7,157,2
8,206,2
9,267,2
10,342,2
0,24,3
1,28,3
2,44,3
3,67,3
4,84,3
5,94,3
6,123,3
7,157,3
8,206,3
9,267,3
10,342,3
11,433,3
12,533,3
13,645,3
14,775,3
15,920,3
0,24,4
1,28,4
2,44,4
3,67,4
4,84,4
5,94,4
6,123,4
7,157,4
8,206,4
9,267,4
10,342,4
11,433,4
12,533,4
13,645,4
14,775,4
15,920,4
16,1107,4
17,1275,4
18,1444,4
19,1584,4
20,1810,4
0,24,5
1,28,5
2,44,5
3,67,5
4,84,5
5,94,5
6,123,5
7,157,5
8,206,5
9,267,5
10,342,5
11,433,5
12,533,5
13,645,5
14,775,5
15,920,5
16,1107,5
17,1275,5
18,1444,5
19,1584,5
20,1810,5
21,2016,5
22,2349,5
23,2607,5
24,2767,5
25,2736,5
0,24,6
1,28,6
2,44,6
3,67,6
4,84,6
5,94,6
6,123,6
7,157,6
8,206,6
9,267,6
10,342,6
11,433,6
12,533,6
13,645,6
14,775,6
15,920,6
16,1107,6
17,1275,6
18,1444,6
19,1584,6
20,1810,6
21,2016,6
22,2349,6
23,2607,6
24,2767,6
25,2736,6
26,3022,6
27,3194,6
28,3294,6
29,3804,6
30,4052,6
0,24,7
1,28,7
2,44,7
3,67,7
4,84,7
5,94,7
6,123,7
7,157,7
8,206,7
9,267,7
10,342,7
11,433,7
12,533,7
13,645,7
14,775,7
15,920,7
16,1107,7
17,1275,7
18,1444,7
19,1584,7
20,1810,7
21,2016,7
22,2349,7
23,2607,7
24,2767,7
25,2736,7
26,3022,7
27,3194,7
28,3294,7
29,3804,7
30,4052,7
31,4352,7
32,4459,7
33,4586,7
34,4862,7
35,5033,7
0,24,8
1,28,8
2,44,8
3,67,8
4,84,8
5,94,8
6,123,8
7,157,8
8,206,8
9,267,8
10,342,8
11,433,8
12,533,8
13,645,8
14,775,8
15,920,8
16,1107,8
17,1275,8
18,1444,8
19,1584,8
20,1810,8
21,2016,8
22,2349,8
23,2607,8
24,2767,8
25,2736,8
26,3022,8
27,3194,8
28,3294,8
29,3804,8
30,4052,8
31,4352,8
32,4459,8
33,4586,8
34,4862,8
35,5033,8
36,5279,8
37,5575,8
38,5760,8
39,5877,8
40,5976,8
0,24,9
1,28,9
2,44,9
3,67,9
4,84,9
5,94,9
6,123,9
7,157,9
8,206,9
9,267,9
10,342,9
11,433,9
12,533,9
13,645,9
14,775,9
15,920,9
16,1107,9
17,1275,9
18,1444,9
19,1584,9
20,1810,9
21,2016,9
22,2349,9
23,2607,9
24,2767,9
25,2736,9
26,3022,9
27,3194,9
28,3294,9
29,3804,9
30,4052,9
31,4352,9
32,4459,9
33,4586,9
34,4862,9
35,5033,9
36,5279,9
37,5575,9
38,5760,9
39,5877,9
40,5976,9
41,6126,9
42,6314,9
43,6467,9
44,6623,9
45,6736,9
0,24,10
1,28,10
2,44,10
3,67,10
4,84,10
5,94,10
6,123,10
7,157,10
8,206,10
9,267,10
10,342,10
11,433,10
12,533,10
13,645,10
14,775,10
15,920,10
16,1107,10
17,1275,10
18,1444,10
19,1584,10
20,1810,10
21,2016,10
22,2349,10
23,2607,10
24,2767,10
25,2736,10
26,3022,10
27,3194,10
28,3294,10
29,3804,10
30,4052,10
31,4352,10
32,4459,10
33,4586,10
34,4862,10
35,5033,10
36,5279,10
37,5575,10
38,5760,10
39,5877,10
40,5976,10
41,6126,10
42,6314,10
43,6467,10
44,6623,10
45,6736,10
46,6812,10
47,6866,10
48,6993,10
49,6993,10
50,7275,10
0,24,11
1,28,11
2,44,11
3,67,11
4,84,11
5,94,11
6,123,11
7,157,11
8,206,11
9,267,11
10,342,11
11,433,11
12,533,11
13,645,11
14,775,11
15,920,11
16,1107,11
17,1275,11
18,1444,11
19,1584,11
20,1810,11
21,2016,11
22,2349,11
23,2607,11
24,2767,11
25,2736,11
26,3022,11
27,3194,11
28,3294,11
29,3804,11
30,4052,11
31,4352,11
32,4459,11
33,4586,11
34,4862,11
35,5033,11
36,5279,11
37,5575,11
38,5760,11
39,5877,11
40,5976,11
41,6126,11
42,6314,11
43,6467,11
44,6623,11
45,6736,11
46,6812,11
47,6866,11
48,6993,11
49,6993,11
50,7275,11
51,7392,11
52,7510,11
53,7549,11
54,7569,11
55,7661,11
0,24,12
1,28,12
2,44,12
3,67,12
4,84,12
5,94,12
6,123,12
7,157,12
8,206,12
9,267,12
10,342,12
11,433,12
12,533,12
13,645,12
14,775,12
15,920,12
16,1107,12
17,1275,12
18,1444,12
19,1584,12
20,1810,12
21,2016,12
22,2349,12
23,2607,12
24,2767,12
25,2736,12
26,3022,12
27,3194,12
28,3294,12
29,3804,12
30,4052,12
31,4352,12
32,4459,12
33,4586,12
34,4862,12
35,5033,12
36,5279,12
37,5575,12
38,5760,12
39,5877,12
40,5976,12
41,6126,12
42,6314,12
43,6467,12
44,6623,12
45,6736,12
46,6812,12
47,6866,12
48,6993,12
49,6993,12
50,7275,12
51,7392,12
52,7510,12
53,7549,12
54,7569,12
55,7661,12
56,7738,12
57,7861,12
58,7884,12
59,7897,12
60,7938,12
0,24,13
1,28,13
2,44,13
3,67,13
4,84,13
5,94,13
6,123,13
7,157,13
8,206,13
9,267,13
10,342,13
11,433,13
12,533,13
13,645,13
14,775,13
15,920,13
16,1107,13
17,1275,13
18,1444,13
19,1584,13
20,1810,13
21,2016,13
22,2349,13
23,2607,13
24,2767,13
25,2736,13
26,3022,13
27,3194,13
28,3294,13
29,3804,13
30,4052,13
31,4352,13
32,4459,13
33,4586,13
34,4862,13
35,5033,13
36,5279,13
37,5575,13
38,5760,13
39,5877,13
40,5976,13
41,6126,13
42,6314,13
43,6467,13
44,6623,13
45,6736,13
46,6812,13
47,6866,13
48,6993,13
49,6993,13
50,7275,13
51,7392,13
52,7510,13
53,7549,13
54,7569,13
55,7661,13
56,7738,13
57,7861,13
58,7884,13
59,7897,13
60,7938,13
61,7962,13
62,8003,13
63,8081,13
64,8144,13
65,8203,13
0,24,14
1,28,14
2,44,14
3,67,14
4,84,14
5,94,14
6,123,14
7,157,14
8,206,14
9,267,14
10,342,14
11,433,14
12,533,14
13,645,14
14,775,14
15,920,14
16,1107,14
17,1275,14
18,1444,14
19,1584,14
20,1810,14
21,2016,14
22,2349,14
23,2607,14
24,2767,14
25,2736,14
26,3022,14
27,3194,14
28,3294,14
29,3804,14
30,4052,14
31,4352,14
32,4459,14
33,4586,14
34,4862,14
35,5033,14
36,5279,14
37,5575,14
38,5760,14
39,5877,14
40,5976,14
41,6126,14
42,6314,14
43,6467,14
44,6623,14
45,6736,14
46,6812,14
47,6866,14
48,6993,14
49,6993,14
50,7275,14
51,7392,14
52,7510,14
53,7549,14
54,7569,14
55,7661,14
56,7738,14
57,7861,14
58,7884,14
59,7897,14
60,7938,14
61,7962,14
62,8003,14
63,8081,14
64,8144,14
65,8203,14
66,8228,14
67,8261,14
68,8283,14
69,8309,14
70,8372,14
0,24,15
1,28,15
2,44,15
3,67,15
4,84,15
5,94,15
6,123,15
7,157,15
8,206,15
9,267,15
10,342,15
11,433,15
12,533,15
13,645,15
14,775,15
15,920,15
16,1107,15
17,1275,15
18,1444,15
19,1584,15
20,1810,15
21,2016,15
22,2349,15
23,2607,15
24,2767,15
25,2736,15
26,3022,15
27,3194,15
28,3294,15
29,3804,15
30,4052,15
31,4352,15
32,4459,15
33,4586,15
34,4862,15
35,5033,15
36,5279,15
37,5575,15
38,5760,15
39,5877,15
40,5976,15
41,6126,15
42,6314,15
43,6467,15
44,6623,15
45,6736,15
46,6812,15
47,6866,15
48,6993,15
49,6993,15
50,7275,15
51,7392,15
52,7510,15
53,7549,15
54,7569,15
55,7661,15
56,7738,15
57,7861,15
58,7884,15
59,7897,15
60,7938,15
61,7962,15
62,8003,15
63,8081,15
64,8144,15
65,8203,15
66,8228,15
67,8261,15
68,8283,15
69,8309,15
70,8372,15
71,8428,15
